"ISONum","fert_know_w","fert_know_w_Year"
4,0.0726612627760175,2015
8,0.201160813975897,2017
24,0.136160745743872,2015
51,0.2562672248681,2015
31,0.154168558881962,2006
50,0.303886736941433,2017
204,0.253882336941575,2017
68,0.334504104043504,2008
76,0.259515989812155,1996
854,0.341196013711852,2010
108,0.208134033704802,2016
116,0.163473038722502,2014
120,0.422614543879171,2018
140,0.167718517697793,1994
148,0.255764073900994,2014
170,0.232968713198864,2015
174,0.426767550236644,2012
178,0.515776350214621,2011
180,0.404805409935477,2013
384,0.284740100406697,2011
214,0.0941111046889383,2013
218,0.210096889342172,1987
818,0.275413402505646,2014
231,0.233978485397704,2016
266,0.481655223965364,2012
270,0.156775651969344,2019
288,0.298223208411133,2014
320,0.171647015189719,2014
324,0.216297790818165,2018
328,0.136996933354662,2009
332,0.230023866220903,2016
340,0.100826168216215,2011
356,0.122691343966808,2015
360,0.189507916608301,2017
400,0.520757410710528,2017
398,0.221495577851877,1999
404,0.225205069953845,2014
417,0.0854085958393413,2012
426,0.245939461040388,2014
430,0.0982341865126783,2019
450,0.462630225281198,2008
454,0.155172178261991,2015
462,0.167324146188083,2016
466,0.238409661290687,2018
498,0.386498583824764,2005
504,0.087360578561176,2003
508,0.0231878439583864,2011
104,0.0348185714096309,2015
516,0.157795878295401,2013
524,0.255638608538938,2016
558,0.131415858555819,2001
562,0.15204703451896,2012
566,0.191066924595289,2018
586,0.0726894361954738,2017
600,0.232149797793723,1990
598,0.175641766299628,2016
604,0.322466769604137,2012
608,0.169435824477144,2017
646,0.204047916412694,2014
678,0.109575070983222,2008
686,0.185338264173615,2019
694,0.332033409658739,2019
710,0.292707120792582,2016
144,0.36699165733585,1987
736,0.280728376327769,1989
748,0.0854719185483349,2006
762,0.116544315829796,2017
834,0.187890602750749,2015
764,0.108674601456558,1987
626,0.0547246758767349,2016
768,0.406408906134533,2013
780,0.1541695865452,1987
788,0.212520593080725,1988
792,0.146452198025154,2013
800,0.180429865363095,2016
804,0.482003750520339,2007
860,0.0504865352918312,1996
704,0.379741198089743,2002
894,0.173350356624566,2018
716,0.129351574404753,2015
